Time,Time (microseconds),Computer,Reason,Tag(s),Application Type,Action,Rank,Direction,Flow,Interface,Protocol,Flags,Source IP,Source MAC,Source Port,Destination IP,Destination MAC,Destination Port,Packet Size,Note,Repeat Count,End Time,Position In Buffer,Position In Stream,Data Flags,Data Index,Data,Event Origin,Original IP (XFF),Process ID,Thread ID,Process Name,Container ID,Container Name,RepoDigest,Image Name,Image ID,Pod ID,Interface Type
"January 5, 2025 12:23:24",1736101404185894,appserverDev,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,06:90:AA:90:5A:FE,TCP,ACK PSH DF=1,115.236.79.230,00:3A:9C:77:27:C1,52362,67.228.216.8,06:90:AA:90:5A:FE,80,415,"""uri-normalize""",1,,24,24,8,47299,690100000000000000000000000000000000000000000000504F5354202F6367692D62696E2F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F62696E2F736820485454502F312E310D0A486F73743A2036372E3232382E3231362E383A38300D0A4163636570743A202A2F2A0D0A557067726164652D496E7365637572652D52657175657374733A20310D0A557365722D4167656E743A20437573746F6D2D4173796E6348747470436C69656E740D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A436F6E74656E742D547970653A20746578742F706C61696E0D0A436F6E74656E742D4C656E6774683A203130350D0A0D0A583D24286375726C20687474703A2F2F39342E3135362E3137372E3130392F7368207C7C207767657420687474703A2F2F39342E3135362E3137372E3130392F7368202D4F2D293B206563686F20222458,Agent,,,,,,,,,,,0
"January 5, 2025 12:01:07",1736100067151164,AppserverRE-QA,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,06:A4:2D:F1:8D:3E,TCP,ACK PSH DF=1,198.7.125.59,00:DE:FB:BA:A4:C1,48704,52.117.40.204,06:A4:2D:F1:8D:3E,80,416,"""uri-normalize""",1,,24,24,8,49080,6A0100000000000000000000000000000000000000000000504F5354202F6367692D62696E2F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F62696E2F736820485454502F312E310D0A486F73743A2035322E3131372E34302E3230343A38300D0A4163636570743A202A2F2A0D0A557067726164652D496E7365637572652D52657175657374733A20310D0A557365722D4167656E743A20437573746F6D2D4173796E6348747470436C69656E740D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A436F6E74656E742D547970653A20746578742F706C61696E0D0A436F6E74656E742D4C656E6774683A203130350D0A0D0A583D24286375726C20687474703A2F2F39342E3135362E3137372E3130392F7368207C7C207767657420687474703A2F2F39342E3135362E3137372E3130392F7368202D4F2D293B206563686F20222458,Agent,,,,,,,,,,,0
"January 5, 2025 11:01:46",1736096506873440,DEV-002-Sb2bi,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,06:CB:A9:05:4F:A1,TCP,ACK PSH DF=1,209.145.53.161,00:DE:FB:19:5D:41,47524,169.60.157.169,06:CB:A9:05:4F:A1,80,429,"""uri-normalize""",1,,24,24,8,25290,6B0100000000000000000000000000000000000000000000504F5354202F6367692D62696E2F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F62696E2F736820485454502F312E310D0A486F73743A203136392E36302E3135372E3136393A38300D0A4163636570743A202A2F2A0D0A557067726164652D496E7365637572652D52657175657374733A20310D0A557365722D4167656E743A20437573746F6D2D4173796E6348747470436C69656E740D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A436F6E74656E742D547970653A20746578742F706C61696E0D0A436F6E74656E742D4C656E6774683A203130350D0A0D0A583D24286375726C20687474703A2F2F39342E3135362E3137372E3130392F7368207C7C207767657420687474703A2F2F39342E3135362E3137372E3130392F7368202D4F2D293B206563686F20222458,Agent,,,,,,,,,,,0
"January 5, 2025 10:33:53",1736094833617037,SRVHSQA01.humansite.int,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,,TCP,ACK PSH DF=1,47.254.232.29,00:50:56:95:9F:0C,38700,74.208.27.178,AC:1F:6B:BD:26:1A,443,0,"""uri-normalize""",1,,0,0,0,,,Agent,,4,,,,,,,,,0
"January 5, 2025 08:48:16",1736088496027113,SRVHSQA01.humansite.int,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,,TCP,ACK PSH DF=1,8.222.197.158,00:50:56:95:9F:0C,40296,74.208.27.178,AC:1F:6B:BD:26:1A,443,0,"""uri-normalize""",1,,0,0,0,,,Agent,,4,,,,,,,,,0
"January 5, 2025 07:47:12",1736084832340107,appserverDev,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,06:90:AA:90:5A:FE,TCP,ACK PSH DF=1,103.76.84.164,00:3A:9C:77:26:C1,57337,67.228.216.8,06:90:AA:90:5A:FE,80,415,"""uri-normalize""",1,,24,24,8,45503,690100000000000000000000000000000000000000000000504F5354202F6367692D62696E2F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F62696E2F736820485454502F312E310D0A486F73743A2036372E3232382E3231362E383A38300D0A4163636570743A202A2F2A0D0A557067726164652D496E7365637572652D52657175657374733A20310D0A557365722D4167656E743A20437573746F6D2D4173796E6348747470436C69656E740D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A436F6E74656E742D547970653A20746578742F706C61696E0D0A436F6E74656E742D4C656E6774683A203130350D0A0D0A583D24286375726C20687474703A2F2F39342E3135362E3137372E3130392F7368207C7C207767657420687474703A2F2F39342E3135362E3137372E3130392F7368202D4F2D293B206563686F20222458,Agent,,,,,,,,,,,0
"January 5, 2025 06:54:23",1736081663219573,AppserverRE-QA,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,06:A4:2D:F1:8D:3E,TCP,ACK PSH DF=1,120.71.11.24,00:DE:FB:BA:A3:C1,38574,52.117.40.204,06:A4:2D:F1:8D:3E,80,416,"""uri-normalize""",1,,24,24,8,46060,6A0100000000000000000000000000000000000000000000504F5354202F6367692D62696E2F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F62696E2F736820485454502F312E310D0A486F73743A2035322E3131372E34302E3230343A38300D0A4163636570743A202A2F2A0D0A557067726164652D496E7365637572652D52657175657374733A20310D0A557365722D4167656E743A20437573746F6D2D4173796E6348747470436C69656E740D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A436F6E74656E742D547970653A20746578742F706C61696E0D0A436F6E74656E742D4C656E6774683A203130350D0A0D0A583D24286375726C20687474703A2F2F39342E3135362E3137372E3130392F7368207C7C207767657420687474703A2F2F39342E3135362E3137372E3130392F7368202D4F2D293B206563686F20222458,Agent,,,,,,,,,,,0
"January 5, 2025 05:26:20",1736076380356319,appserverDev,Unsupported Cipher,,N/A,Reset,100,Outgoing,Reverse Flow,,TCP,ACK PSH DF=1,67.228.216.8,06:90:AA:90:5A:FE,443,172.169.207.226,00:00:0C:9F:F0:01,58188,0,"""SSL3.0""",1,,0,0,0,,,Agent,,4,,,,,,,,,0
"January 5, 2025 05:09:00",1736075340861154,SRVHSDEV05.humansite.int,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,AC:1F:6B:BD:27:2C,TCP,ACK PSH DF=1,37.58.18.237,00:50:56:95:9F:0C,44662,50.21.182.180,AC:1F:6B:BD:27:2C,80,416,"""uri-normalize""",1,,24,24,8,15220,6A0100000000000000000000000000000000000000000000504F5354202F6367692D62696E2F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F2E2532652F62696E2F736820485454502F312E310D0A486F73743A2035302E32312E3138322E3138303A38300D0A4163636570743A202A2F2A0D0A557067726164652D496E7365637572652D52657175657374733A20310D0A557365722D4167656E743A20437573746F6D2D4173796E6348747470436C69656E740D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A436F6E74656E742D547970653A20746578742F706C61696E0D0A436F6E74656E742D4C656E6774683A203130350D0A0D0A583D24286375726C20687474703A2F2F39342E3135362E3137372E3130392F7368207C7C207767657420687474703A2F2F39342E3135362E3137372E3130392F7368202D4F2D293B206563686F20222458,Agent,,,,,,,,,,,0
"January 5, 2025 05:00:00",1736074800922303,EC2AMAZ-3B4EG17,Invalid Traversal,,N/A,Reset,100,Incoming,Connection Flow,,TCP,ACK PSH DF=1,39.104.89.202,02:3E:0B:7E:19:E1,46742,172.31.22.47,02:30:0E:08:BC:4D,443,0,"""uri-normalize""",1,,0,0,0,,,Agent,,4,,,,,,,,,0
