Time,Level,Event ID,Event,Tag(s),Event Origin,Target,Action By,Manager,Description,IP
"April 20, 2024 14:57:29",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,AppserverRE,System,hbp00424s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:57:15
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 159.192.105.100 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 159.192.105.100 is being automatically blocked for 1,800 seconds.",159.192.105.100
"April 20, 2024 14:52:19",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,Sb2bSrvRecibo,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:52:16
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 220.133.20.40 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 220.133.20.40 is being automatically blocked for 1,800 seconds.",220.133.20.40
"April 20, 2024 14:51:34",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,SMTPSVRCFDINET.ams.local,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:51:32
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 114.32.100.73 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 114.32.100.73 is being automatically blocked for 1,800 seconds.",114.32.100.73
"April 20, 2024 14:50:58",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,AppserverRE,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:50:51
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 77.107.131.96 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 77.107.131.96 is being automatically blocked for 1,800 seconds.",77.107.131.96
"April 20, 2024 14:48:57",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,DBserverRe-QA,System,hbp00423s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:48:53
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 177.85.224.93 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 177.85.224.93 is being automatically blocked for 1,800 seconds.",177.85.224.93
"April 20, 2024 14:46:33",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,srvhsprdblue03.humansite.int,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:46:29
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 220.133.92.196 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 220.133.92.196 is being automatically blocked for 1,800 seconds.",220.133.92.196
"April 20, 2024 14:45:11",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,Sb2bserverRE-QA,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:45:07
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 114.32.100.73 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 114.32.100.73 is being automatically blocked for 1,800 seconds.",114.32.100.73
"April 20, 2024 14:44:28",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,AppserverRE,System,hbp00423s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:44:15
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 159.192.104.79 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 159.192.104.79 is being automatically blocked for 1,800 seconds.",159.192.104.79
"April 20, 2024 14:43:20",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,DbserverRecibo,System,hbp00423s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:43:18
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 77.107.131.96 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 77.107.131.96 is being automatically blocked for 1,800 seconds.",77.107.131.96
"April 20, 2024 14:36:39",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,DbserverRecibo,System,hbp00424s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:36:35
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 159.192.105.100 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 159.192.105.100 is being automatically blocked for 1,800 seconds.",159.192.105.100
"April 20, 2024 14:30:58",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,Sb2bserverRE-QA,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:30:44
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 128.22.175.67 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 128.22.175.67 is being automatically blocked for 1,800 seconds.",128.22.175.67
"April 20, 2024 14:27:50",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,DbserverDev,System,hbp00424s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:27:47
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 74.218.29.74 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 74.218.29.74 is being automatically blocked for 1,800 seconds.",74.218.29.74
"April 20, 2024 14:22:34",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,Sb2bserverRE-QA,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:22:31
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 177.85.224.93 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 177.85.224.93 is being automatically blocked for 1,800 seconds.",177.85.224.93
"April 20, 2024 14:20:01",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,AppserverRE-QA,System,hbp00420s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:19:47
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 1.34.85.243 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 1.34.85.243 is being automatically blocked for 1,800 seconds.",1.34.85.243
"April 20, 2024 14:17:30",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,DbserverRecibo,System,hbp00423s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:17:27
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 128.22.175.67 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 128.22.175.67 is being automatically blocked for 1,800 seconds.",128.22.175.67
"April 20, 2024 14:14:40",Warning,853,Reconnaissance Detected: TCP SYNFIN Scan,,Agent,Sb2bserverRE-QA,System,hbp00423s-474,"The Agent/Appliance detected a TCP ""SYNFIN"" port scan attempt. Check the Agent/Appliance Events to see the details of the port scan.

Agent/Appliance Event(s):

Time: April 20, 2024 14:14:36
Level: Warning
Event ID: 7003
Event: TCP SYNFIN Scan
Description: The computer at IP address 159.192.104.79 sent a packet with both the ""SYN"" and ""FIN"" TCP flags set - an illegal combination. This almost always means it is performing a ""FIN"" scan to determine which ports are open.

Traffic from IP 159.192.104.79 is being automatically blocked for 1,800 seconds.",159.192.104.79
